Zip,City
53502,Albany
53503,Arena
53506,Avoca
53507,Barneveld
53508,Belleville
53515,Black Earth
53517,Blue Mounds
53520,Brodhead
53521,Brooklyn
53522,Browntown
53523,Lake Ripley
53526,Cobb
53527,Cottage Grove
53528,Cross Plains
53529,Dane
53531,Deerfield
53532,DeForest
53533,Dodgeville
53543,Highland
53544,Hollandale
53550,Juda
53553,Linden
53555,Lodi
53558,McFarland
53559,Marshall
53560,Mazomanie
53562,Middleton
53565,Mineral Point
53566,Monroe
53570,Monticello
53571,Morrisonville
53572,Mount Horeb
53574,New Glarus
53575,Oregon
53580,Rewey
53582,Ridgeway
53589,Stoughton
53590,Sun Prairie
53593,Verona
53597,Waunakee
53598,Windsor
53702,State Capitol
53703,Madison
53704,Madison
53705,Madison
53706,Madison
53711,Madison
53713,Madison
53714,Madison
53715,Madison
53716,Madison
53717,Madison
53718,Madison
53719,Madison
53726,Madison
53792,Univ Of Wis Hosp Hlth Sc Ctr
53901,Portage
53911,Arlington
53923,Cambria
53925,Columbus
53928,Doylestown
53932,Fall River
53935,Friesland
53954,Pardeeville
53955,Poynette
53960,Rio
53965,Wisconsin Dells
53969,Wyocena
